"ID","MODOMICS code","Name","Reference NucleoBase","Short Name","New RNAMods code","Old RNAMods code","Moiety type"
"240","2161551A","2-methylthio-N6-isopentenyl-adenosine-5'-monophosphate","Adenosine","pms2i6A","*","*","nucleotide"
"241","502551U","5-(carboxymethoxy) uridine-5'-monophosphate","Uridine","pcmo5U","V","V","nucleotide"
"244","34831551G","wybutosine[C15(S)]-5'-monophosphate","Guanosine","pyyW","ϓ","","nucleotide"
"250","44551C","[(2~{R},3~{S},4~{R},5~{R})-5-[4-(dimethylamino)-2-oxidanylidene-pyrimidin-1-yl]-3,4-bis(oxidanyl)oxolan-2-yl]methyl dihydrogen phosphate","Cytidine","pm4,4C","μ","","nucleotide"
"253","61551A","N6-isopentenyl-adenosine-5'-monophosphate","Adenosine","pi6A","Ч","+","nucleotide"
"254","51551C","5-(hydroxymethyl)cytidine 5'-(dihydrogen phosphate)","Cytidine","phm5C","∅","","nucleotide"
"255","551U","uridine-5'-monophosphate","Uridine","pU","","U","nucleotide"
"256","00551A","2'-O-[(5'-phospho)ribosyl]adenosine-5'-monophosphate","Adenosine","pAr(p)","ʩ","^","nucleotide"
"257","042551C","[(2~{R},3~{R},4~{R},5~{R})-5-(4-acetamido-2-oxidanylidene-pyrimidin-1-yl)-4-methoxy-3-oxidanyl-oxolan-2-yl]methyl dihydrogen phosphate","Cytidine","pac4Cm","ℵ","ℵ","nucleotide"
"259","33551G","guanosine-3',5'-diphosphate","Guanosine","pGp","","","nucleotide"
"268","3377551U","uridine-5'-monophosphate-2',3'-cyclic phosphate","Uridine","pU2'3'cp","Ҋ","","nucleotide"
"281","4551C","4-methyl, cytidine-5'-monophosphate","Cytidine","pm4C","ν","","nucleotide"
"296","05551U","2',5-dimethyluridine-5'-monophosphate","Uridine","pm5Um","Ħ","\","nucleotide"
"297","511551U","(2R,4S)-1-[(4R)-3,4-dihydroxytetrahydrofuran-2-YL]-5-[(methylamino)methyl]-1,2,3,4-tetrahydropyrimidine-2,4-diol-5'-monophosphate","Uridine","pmnm5U","{","{","nucleotide"
"299","3551C","3-Methylcytidine- 5'-monophosphate","Cytidine","pm3C","Щ","'","nucleotide"
"300","551C","cytidine-5'-monophosphate","Cytidine","pC","","C","nucleotide"
"302","662551A","N6-methyl-N6-threonylcarbamoyladenosine-5'-monophosphate","Adenosine","pm6t6A","E","E","nucleotide"
"310","33551A","adenosine-3',5'-diphosphate","Adenosine","pAp","","","nucleotide"
"317","552A","adenosine-5'-diphosphate","Adenosine","ppA","","か","nucleotide"
"333","4553N","adenosine triphosphate 5' cap (cap A)","Adenosine, Cytidine, Guanosine, Uridine","ApppN","Ϩ","","nucleotide"
"334","4554N","adenosine tetraphosphate 5' cap (cap Ap4N)","Adenosine, Cytidine, Guanosine, Uridine","AppppN","Ĳ","","nucleotide"
"335","4555N","adenosine pentaphosphate 5' cap (cap Ap5N)","Adenosine, Cytidine, Guanosine, Uridine","ApppppN","Ϭ","","nucleotide"
"336","64553N","N6-methyl-adenosine triphosphate 5' cap (cap A)","Adenosine, Cytidine, Guanosine, Uridine","m6ApppN","Ϯ","","nucleotide"
"337","64554N","N6-methyl-adenosine tetraphosphate 5' cap (cap Ap4N)","Adenosine, Cytidine, Guanosine, Uridine","m6AppppN","Ϙ","","nucleotide"
"338","64555N","N6-methyl-adenosine pentaphosphate 5' cap (cap Ap5N)","Adenosine, Cytidine, Guanosine, Uridine","m6ApppppN","Ϛ","","nucleotide"
"339","79554N","N7-methyl-guanosine  tetraphosphate 5' cap (cap m7Gp4N)","Adenosine, Cytidine, Guanosine, Uridine","m7GppppN","Ϟ","","nucleotide"
"340","01551A","1,2'-O-dimethyladenosine-5'-monophosphate","Adenosine","pm1Am","œ","","nucleotide"
"341","01551G","1,2'-O-dimethylguanosine-5'-monophosphate","Guanosine","pm1Gm","ε","ε","nucleotide"
"342","019551A","1,2'-O-dimethylinosine-5'-monophosphate","Adenosine","pm1Im","ξ","ξ","nucleotide"
"343","1309551U","1-methyl-3-(3-amino-3-carboxypropyl)pseudouridine-5'-monophosphate","Uridine","pm1acp3Y","α","α","nucleotide"
"344","19551A","1-methylinosine-5'-monophosphate","Adenosine","pm1I","O","O","nucleotide"
"345","19551U","1-methylpseudouridine-5'-monophosphate","Uridine","pm1Y","]","]","nucleotide"
"346","21551C","2-lysidine-5'-monophosphate","Cytidine","pk2C","}","}","nucleotide"
"347","2551C","2-thiocytidine-5'-monophosphate","Cytidine","ps2C","ʤ","%","nucleotide"
"348","1309551U","3-(3-amino-3-carboxypropyl)pseudouridine-5'-monophosphate","Uridine","pacp3Y","Þ","","nucleotide"
"349","39551U","3-methylpseudouridine-5'-monophosphate","Uridine","pm3Y","Ƒ","Κ","nucleotide"
"350","05551C","5,2'-O-dimethylcytidine-5'-monophosphate","Cytidine","pm5Cm","τ","","nucleotide"
"351","522551U","5-(carboxyhydroxymethyl)uridine methyl ester-5'-monophosphate","Uridine","pmchm5U","ɮ",",","nucleotide"
"352","0583551U","5-(isopentenylaminomethyl)-2'-O-methyluridine-5'-monophosphate","Uridine","pinm5Um","Ю","¼","nucleotide"
"353","2583551U","5-(isopentenylaminomethyl)-2-thiouridine-5'-monophosphate","Uridine","pinm5s2U","Ɲ","","nucleotide"
"354","583551U","5-(isopentenylaminomethyl)uridine-5'-monophosphate","Uridine","pinm5U","¾","","nucleotide"
"355","510551U","5-aminomethyluridine-5'-monophosphate","Uridine","pnm5U","∪","∪","nucleotide"
"356","53551U","5-carbamoylmethyluridine-5'-monophosphate","Uridine","pncm5U","&","&","nucleotide"
"357","520551U","5-carboxyhydroxymethyluridine-5'-monophosphate","Uridine","pchm5U","≥","≥","nucleotide"
"358","51551U","5-carboxymethylaminomethyluridine-5'-monophosphate","Uridine","pcmnm5U","!","!","nucleotide"
"359","52551U","5-carboxymethyluridine-5'-monophosphate","Uridine","pcm5U","◊","◊","nucleotide"
"360","50551U","5-hydroxyuridine-5'-monophosphate","Uridine","pho5U","∝","","nucleotide"
"361","0521551U","5-methoxycarbonylmethyl-2'-O-methyluridine-5'-monophosphate","Uridine","pmcm5Um","∩","∩","nucleotide"
"362","521551U","5-methoxycarbonylmethyluridine-5'-monophosphate","Uridine","pmcm5U","1","1","nucleotide"
"363","501551U","5-methoxyuridine-5'-monophosphate","Uridine","pmo5U","5","5","nucleotide"
"364","58551U","5-methyldihydrouridine-5'-monophosphate","Uridine","pm5D","ρ","","nucleotide"
"365","342551G","methylwyosine-5'-monophosphate","Guanosine","pmimG","∑","","nucleotide"
"366","051551C","2'-O-methyl-5-hydroxymethylcytidine-5'-monophosphate","Cytidine","phm5Cm","¡","","nucleotide"
"367","09551A","2'-O-methylinosine-5'-monophosphate","Adenosine","pIm","Ш","","nucleotide"
"368","09551U","2'-O-methylpseudouridine-5'-monophosphate","Uridine","pYm","Z","Z","nucleotide"
"369","0503551U","2'-O-methyluridine 5-oxyacetic acid methyl ester-5'-monophosphate","Uridine","pmcmo5Um","Ͽ","","nucleotide"
"370","00551G","2'-O-ribosylguanosine (phosphate)-5'-monophosphate","Guanosine","pGr(p)","ℑ","ℑ","nucleotide"
"371","28551A","2,8-dimethyladenosine-5'-monophosphate","Adenosine","pm2,8A","±","","nucleotide"
"372","21161551A","2- methylthiomethylenethio-N6-isopentenyl-adenosine-5'-monophosphate","Adenosine","pmsms2i6A","£","","nucleotide"
"373","21551U","2-geranylthiouridine-5'-monophosphate","Uridine","pges2U","Γ","","nucleotide"
"374","2164551A","2-methylthio cyclic N6-threonylcarbamoyladenosine-5'-monophosphate","Adenosine","pms2ct6A","ÿ","","nucleotide"
"375","2160551A","2-methylthio-N6-(cis-hydroxyisopentenyl) adenosine-5'-monophosphate","Adenosine","pms2io6A","≠","≠","nucleotide"
"376","2163551A","2-methylthio-N6-hydroxynorvalylcarbamoyladenosine-5'-monophosphate","Adenosine","pms2hn6A","≈","","nucleotide"
"377","621551A","2-methylthio-N6-methyladenosine-5'-monophosphate","Adenosine","pms2m6A","∞","","nucleotide"
"378","2162551A","2-methylthio-N6-threonylcarbamoyladenosine-5'-monophosphate","Adenosine","pms2t6A","[","[","nucleotide"
"379","02551U","2-thio-2'-O-methyluridine-5'-monophosphate","Uridine","ps2Um","∏","∏","nucleotide"
"380","03551U","3,2'-O-dimethyluridine-5'-monophosphate","Uridine","pm3Um","σ","","nucleotide"
"381","308551U","3-(3-amino-3-carboxypropyl)-5,6-dihydrouridine-5'-monophosphate","Uridine","pacp3D","Ð","","nucleotide"
"382","30551U","3-(3-amino-3-carboxypropyl)uridine-5'-monophosphate","Uridine","pacp3U","X","","nucleotide"
"383","4551G","4-demethylwyosine-5'-monophosphate","Guanosine","pimG-14","†","","nucleotide"
"384","0522551U","5-(carboxyhydroxymethyl)-2'-O-methyluridine methyl ester-5'-monophosphate","Uridine","pmchm5Um","b","","nucleotide"
"385","21510551U","5-aminomethyl-2-geranylthiouridine-5'-monophosphate","Uridine","pnm5ges2U","Δ","Δ","nucleotide"
"386","20510551U","5-aminomethyl-2-selenouridine-5'-monophosphate","Uridine","pnm5se2U","π","π","nucleotide"
"387","2510551U","5-aminomethyl-2-thiouridine-5'-monophosphate","Uridine","pnm5s2U","∫","∫","nucleotide"
"388","531551U","5-carbamoylhydroxymethyluridine-5'-monophosphate","Uridine","pnchm5U","r","","nucleotide"
"389","053551U","5-carbamoylmethyl-2'-O-methyluridine-5'-monophosphate","Uridine","pncm5Um","~","","nucleotide"
"390","253551U","5-carbamoylmethyl-2-thiouridine-5'-monophosphate","Uridine","pncm5s2U","l","l","nucleotide"
"391","2540551U","5-carboxymethyl-2-thiouridine-5'-monophosphate","Uridine","pcm5s2U","℘","℘","nucleotide"
"392","051551U","5-carboxymethylaminomethyl-2'-O-methyluridine-5'-monophosphate","Uridine","pcmnm5Um",")",")","nucleotide"
"393","2151551U","5-carboxymethylaminomethyl-2-geranylthiouridine-5'-monophosphate","Uridine","pcmnm5ges2U","f","f","nucleotide"
"394","2051551U","5-carboxymethylaminomethyl-2-selenouridine-5'-monophosphate","Uridine","pcmnm5se2U","⊥","⊥","nucleotide"
"395","251551U","5-carboxymethylaminomethyl-2-thiouridine-5'-monophosphate","Uridine","pcmnm5s2U","$","$","nucleotide"
"396","55551U","5-cyanomethyluridine-5'-monophosphate","Uridine","pcnm5U","Ѷ","Ѷ","nucleotide"
"397","071551C","5-formyl-2'-O-methylcytidine-5'-monophosphate","Cytidine","pf5Cm","°","°","nucleotide"
"398","50551C","5-hydroxycytidine-5'-monophosphate","Cytidine","pho5C","Ç","Ç","nucleotide"
"399","25551U","5-methyl-2-thiouridine-5'-monophosphate","Uridine","pm5s2U","F","F","nucleotide"
"400","21511551U","5-methylaminomethyl-2-geranylthiouridine-5'-monophosphate","Uridine","pmnm5ges2U","h","","nucleotide"
"401","20511551U","5-methylaminomethyl-2-selenouridine-5'-monophosphate","Uridine","pmnm5se2U","≅","","nucleotide"
"402","2511551U","5-methylaminomethyl-2-thiouridine-5'-monophosphate","Uridine","pmnm5s2U","S","S","nucleotide"
"403","254551U","5-taurinomethyl-2-thiouridine-5'-monophosphate","Uridine","ptm5s2U","ƕ","∃","nucleotide"
"404","54551U","5-taurinomethyluridine-5'-monophosphate","Uridine","ptm5U","ʭ","Ê","nucleotide"
"405","47551G","7-aminocarboxypropyl-demethylwyosine-5'-monophosphate","Guanosine","pyW-86","¥","","nucleotide"
"406","347551G","7-aminocarboxypropylwyosine-5'-monophosphate","Guanosine","pyW-72","Ω","","nucleotide"
"407","348551G","7-aminocarboxypropylwyosine methyl ester-5'-monophosphate","Guanosine","pyW-58","⇑","","nucleotide"
"408","101551G","7-aminomethyl-7-deazaguanosine-5'-monophosphate","Guanosine","ppreQ1","∉","","nucleotide"
"409","100551G","7-cyano-7-deazaguanosine-5'-monophosphate","Guanosine","ppreQ0","φ","","nucleotide"
"410","8551A","8-methyladenosine-5'-monophosphate","Adenosine","pm8A","â","","nucleotide"
"411","20551C","agmatidine-5'-monophosphate","Cytidine","pC+","¿","","nucleotide"
"412","103551G","archaeosine-5'-monophosphate","Guanosine","pG+","(","(","nucleotide"
"413","69551A","cyclic N6-threonylcarbamoyladenosine-5'-monophosphate","Adenosine","pct6A","e","","nucleotide"
"414","102551G","epoxyqueuosine-5'-monophosphate","Guanosine","poQ","ς","","nucleotide"
"415","104551G","galactosyl-queuosine-5'-monophosphate","Guanosine","pgalQ","9","9","nucleotide"
"416","105551G","glutamyl-queuosine-5'-monophosphate","Guanosine","pgluQ","⊄","⊄","nucleotide"
"417","2165551A","hydroxy-N6-threonylcarbamoyladenosine-5'-monophosphate","Adenosine","pht6A","«","","nucleotide"
"418","34830551G","hydroxywybutosine-5'-monophosphate","Guanosine","pOHyW","⊆","","nucleotide"
"419","42551G","isowyosine-5'-monophosphate","Guanosine","pimG2","⊇","","nucleotide"
"420","106551G","mannosyl-queuosine-5'-monophosphate","Guanosine","pmanQ","8","8","nucleotide"
"421","3480551G","methylated undermodified hydroxywybutosine-5'-monophosphate","Guanosine","pOHyWy","y","","nucleotide"
"422","34832551G","peroxywybutosine-5'-monophosphate","Queuosine (QtRNA)","po2yW","W","Ŵ","nucleotide"
