"ID","MODOMICS code","Name","Reference NucleoBase","Short Name","SMILES","RNAMods code","Moiety type"
"292","2000000050X","9-beta-D-ribofuranosyl-9H-purin-2-amine","Unknown","MTU","[O-]P(OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)[n]1c[n]c2c1[n]c(N)[n]c2)(=O)[O-]","㐙","nucleotide"
"293","2000000052X","((2R,3S,4R,5S)-5-(2,6-diamino-9H-purin-9-YL)-3,4-dihydroxy-tetrahydrofuran-2-YL)methyl dihydrogen phosphate","Unknown","N6G","[O-]P(OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)[n]1c[n]c2c1[n]c(N)[n]c2N)(=O)[O-]","㐏","nucleotide"
"294","1000000007A","3'-deoxyadenosine-5'-monophosphate","Adenosine","3DA","[O-]P(OC[C@H]1O[C@H]([C@H](O)C1)[n]1c[n]c2c1[n]c[n]c2N)(=O)[O-]","㐔","nucleotide"
"295","2000000024A","N1-protonated adenosine-5'-monophosphate","Adenosine","AP7","[O-]P(OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)[n]1c[n]c2c1[n]c[nH+]c2N)(=O)[O-]","㐛","nucleotide"
"296","05551U","2',5-dimethyluridine-5'-monophosphate","Uridine","pm5Um","CO[C@H]1[C@H]([n]2c(=O)[nH]c(=O)c(C)c2)O[C@H](COP(=O)([O-])[O-])[C@H]1O","\","nucleotide"
"297","511551U","(2R,4S)-1-[(4R)-3,4-dihydroxytetrahydrofuran-2-YL]-5-[(methylamino)methyl]-1,2,3,4-tetrahydropyrimidine-2,4-diol-5'-monophosphate","Uridine","pmnm5U","CNCc1c(=O)[nH]c(=O)[n]([C@H]2[C@H](O)[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)c1","{","nucleotide"
"298","5000000009A","5'-O-[(S)-hydroxy(methyl)phosphoryl]adenosine","Adenosine","45A","CP(OC[C@@H]1[C@@H](O)[C@@H](O)[C@H]([n]2c3c(c(ncn3)N)nc2)O1)(=O)[O-]","㐗","nucleotide"
"299","3551C","3-Methylcytidine- 5'-monophosphate","Cytidine","pm3C","C[n+]1c(=O)[n]([C@H]2[C@H](O)[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)ccc1N","'","nucleotide"
"300","551C","cytidine-5'-monophosphate","Cytidine","pC","Nc1nc(=O)[n]([C@H]2[C@H](O)[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)cc1","C","nucleotide"
"301","2000000051C","5-nitrocytidine 5'-(dihydrogen phosphate)","Cytidine","N5M","[O-]P(OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=C([N+]([O-])=O)C(N)=NC1=O)(=O)[O-]","㐯","nucleotide"
"302","662551A","N6-methyl-N6-threonylcarbamoyladenosine-5'-monophosphate","Adenosine","pm6t6A","[O-]P(OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)[n]1c[n]c2c1[n]c[n]c2N(C)C(=O)N[C@H](C(O)=O)[C@H](O)C)(=O)[O-]","E","nucleotide"
"303","3000000021A","2'-deoxy-2'-(4-ethyl-1H-1,2,3-triazol-1-yl)adenosine 5'-(dihydrogen phosphate)","Adenosine","A9Z","[O-]P(OC[C@H]1O[C@@H]([n]2c3[n]c[n]c(N)c3[n]c2)[C@@H]([C@@H]1O)[n]1[n][n]c(c1)CC)(=O)[O-]","㐒","nucleotide"
"304","3000000023A","[(6-amino-9H-purin-9-YL)-[5-fluoro-1,3-dihydro-1-hydroxy-2,1-benzoxaborole]-4'YL]methyl dihydrogen phosphate","Adenosine","ANZ","[O-]P(OC[C@H]1O[C@@H]([n]2c3[n]c[n]c(N)c3[n]c2)[C@@H]2O[B@-]3(O[C@H]12)OCc1c3ccc(F)c1)(=O)[O-]","㐟","nucleotide"
"305","2000000012C","5-iodo-cytidine-5'-monophosphate","Cytidine","5IC","[O-]P(OC[C@H]1O[C@H]([C@@H](O)[C@@H]1O)N1C=C(I)C(N)=NC1=O)(=O)[O-]","㐮","nucleotide"
"306","3000000049C","2'-(N-acetamide)-cytidine-5'-monophosphate","Cytidine","M5M","[O-]P(OC[C@H]1O[C@@H](N2C(=O)N=C(N)C=C2)[C@@H]([C@@H]1O)NC(=O)C)(=O)[O-]","㐦","nucleotide"
"307","3000000003X","(E)-N-{[4-oxo-1-(5-O-phosphono-beta-D-arabinofuranosyl)-2-thioxo-1,2,3,4-tetrahydropyrimidin-5-yl]methylidene}glycin","Unknown","1RN","[O-]P(OC[C@H]1O[C@H]([C@@H](O)[C@@H]1O)N1C=C(/C=N/CC(O)=O)C(NC1=S)=O)(=O)[O-]","㑆","nucleotide"
"308","3000000035X","(5S,6R)-5-fluoro-6-hydroxy-pseudouridine-5'-monophosphate","Unknown","FHU","[O-]P(OC[C@H]1O[C@@H]([C@@]2(F)C(=O)NC(=O)N[C@@H]2O)[C@H](O)[C@@H]1O)(=O)[O-]","㑅","nucleotide"
"309","3000000048X","(1S)-1,4-anhydro-1-(1-methyl-2,4-dioxo-1,2,3,4-tetrahydropyrimidin-5-yl)-5-O-phosphono-D-xylitol","Unknown","M1Y","[O-]P(OC[C@H]1O[C@H]([C@H](O)[C@H]1O)C1C(NC(=O)N(C=1)C)=O)(=O)[O-]","㑀","nucleotide"
"310","33551A","adenosine-3',5'-diphosphate","Adenosine","pAp","[O-]P(O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(=O)([O-])[O-])[n]1c[n]c2c1[n]c[n]c2N)(=O)[O-]","","nucleotide"
"311","","2'-deoxycytidine-5'-monophosphate","Cytidine","","Nc1cc[n]([C@@H]2O[C@H](COP([O-])([O-])=O)[C@@H](O)C2)c(=O)n1","","nucleotide"
"312","","2'-deoxyuridine-5'-monophosphate","Uridine","","[C@@H]1([n]2ccc(=O)nc2=O)O[C@H](COP([O-])([O-])=O)[C@@H](O)C1","","nucleotide"
"313","3000000029C","cytosine arabinose-5'-phosphate","Cytidine","CAR","[O-]P(OC[C@H]1O[C@H]([C@@H](O)[C@@H]1O)N1C(N=C(N)C=C1)=O)(=O)[O-]","㐲","nucleotide"
"314","2000000069U","uracil arabinose-5'-phosphate","Uridine","UAR","[O-]P(OC[C@H]1O[C@H]([C@@H](O)[C@@H]1O)N1C(NC(=O)C=C1)=O)(=O)[O-]","㑔","nucleotide"
"315","3000000018A","adenine arabinose-5'-phosphate","Adenosine","A5O","[O-]P(OC[C@H]1O[C@H]([C@@H](O)[C@@H]1O)[n]1c[n]c2c1[n]c[n]c2N)(=O)[O-]","㐠","nucleotide"
"316","","9-(2-deoxy-2-fluoro-5-O-phosphono-beta-D-arabinofuranosyl)-9H-purin-6-amine","Adenosine","nn","[O-]P(OC[C@H]1O[C@H]([C@@H](F)[C@@H]1O)[n]1c[n]c2c1[n]c[n]c2N)(=O)[O-]","","nucleotide"
"317","552A","adenosine-5'-diphosphate","Adenosine","ppA","[O-][P@@](OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)[n]1c[n]c2c1[n]c[n]c2N)(OP([O-])(=O)[O-])=O","か","nucleotide"
"318","","5-methyl-2'-deoxy-cytidine-5'-monophosphate","Cytidine","","Nc1c(C)c[n]([C@@H]2O[C@H](COP([O-])([O-])=O)[C@@H](O)C2)c(=O)n1","","nucleotide"
"319","3000000033C","2'-deoxy-2'-fluorocytidine 5'-(dihydrogen phosphate)","Cytidine","CFZ","[O-]P(OC[C@H]1O[C@H]([C@H](F)[C@@H]1O)N1C(N=C(N)C=C1)=O)(=O)[O-]","㐄","nucleotide"
"320","3000000071U","2'-deoxy-2'-fluorouridine 5'-(dihydrogen phosphate)","Uridine","UFT","[O-]P(OC[C@H]1O[C@H]([C@H](F)[C@@H]1O)N1C(NC(=O)C=C1)=O)(=O)[O-]","㐋","nucleotide"
"322","1000000076X","1-(2-deoxy-5-O-phosphono-beta-D-erythro-pentofuranosyl)-5-methyl-2-selanylpyrimidin-4(1H)-one","Unknown","US3","[O-]P(OC[C@H]1O[C@H](C[C@@H]1O)N1C([SeH])=NC(=O)C(=C1)C)(=O)[O-]","㑖","nucleotide"
"323","3000000032C","4-amino-1-(2-deoxy-2-fluoro-5-O-phosphono-beta-D-arabinofuranosyl)pyrimidin-2(1H)-one","Cytidine","CFL","[O-]P(OC[C@H]1O[C@H]([C@@H](F)[C@@H]1O)N1C(N=C(N)C=C1)=O)(=O)[O-]","㐅","nucleotide"
"324","3000000073U","2'-methylselenyl-2'-deoxyuridine-5'-phosphate","Uridine","UMS","[O-]P(OC[C@H]1O[C@@H](N2C(=O)NC(=O)C=C2)[C@@H]([C@@H]1O)[Se]C)(=O)[O-]","㐌","nucleotide"
"325","","N6-dimethyl-3'-amino-adenosine-5'-monophosphate","Adenosine","mm","[O-]P(OC[C@H]1O[C@H]([C@H](O)[C@@H]1N)[n]1c[n]c2c1[n]c[n]c2N(C)C)(=O)[O-]","","nucleotide"
"326","3000000036G","guanosine-P3-adenosine-5',5'-triphosphate","Guanosine","G3A","[O-][P@](OC[C@H]1O[C@@H]([n]2c3N=C(N)NC(=O)c3[n]c2)[C@H](O)[C@@H]1O)(O[P@@]([O-])(O[P@]([O-])(OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)[n]1c[n]c2c1[n]c[n]c2N)=O)=O)=O","㐽","nucleotide"
"327","2000000059X","D-ribofuranosyl-benzene-5'-monophosphate","Unknown","PYY","[O-]P(OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)c1ccccc1)(=O)[O-]","㐥","nucleotide"
"328","","5-bromo-2'-deoxy uridine","Uridine","nnoiiu","[C@@H]1([n]2cc(Br)c(=O)nc2=O)O[C@H](CO)[C@@H](O)C1","","nucleoside"
"329","2000000016X","8-aza-nebularine-5'-monophosphate","Unknown","8AZ","[O-]P(OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)[n]1c2c([C@@H](O)NC=N2)[n][n]1)(=O)[O-]","㐘","nucleotide"
"330","4000000041G","guanosine-5'-thio-monophosphate","Guanosine","GS","NC1=Nc2c(ncn2[C@H]2C[C@H](O)[C@@H](COP([O-])([S-])=O)O2)C(=O)N1","㐼","nucleotide"
"333","4553N","adenosine triphosphate 5' cap (cap A)","Adenosine, Cytidine, Guanosine, Uridine","ApppN","","","nucleotide"
"334","4554N","adenosine tetraphosphate 5' cap (cap Ap4N)","Adenosine, Cytidine, Guanosine, Uridine","AppppN","","","nucleotide"
"335","4555N","adenosine pentaphosphate 5' cap (cap Ap5N)","Adenosine, Cytidine, Guanosine, Uridine","ApppppN","","","nucleotide"
"336","64553N","N6-methyl-adenosine triphosphate 5' cap (cap A)","Adenosine, Cytidine, Guanosine, Uridine","m6ApppN","","","nucleotide"
"337","64554N","N6-methyl-adenosine tetraphosphate 5' cap (cap Ap4N)","Adenosine, Cytidine, Guanosine, Uridine","m6AppppN","","","nucleotide"
"338","64555N","N6-methyl-adenosine pentaphosphate 5' cap (cap Ap5N)","Adenosine, Cytidine, Guanosine, Uridine","m6ApppppN","","","nucleotide"
"339","79554N","N7-methyl-guanosine  tetraphosphate 5' cap (cap m7Gp4N)","Adenosine, Cytidine, Guanosine, Uridine","m7GppppN","","","nucleotide"
"340","01551A","1,2'-O-dimethyladenosine-5'-monophosphate","Adenosine","pm1Am","CO[C@@H]1[C@H](O)[C@@H](COP(=O)([O-])[O-])O[C@H]1[n]1cnc2c(=N)[n](C)cnc12","","nucleotide"
"341","01551G","1,2'-O-dimethylguanosine-5'-monophosphate","Guanosine","pm1Gm","CO[C@@H]1[C@H](O)[C@@H](COP(=O)([O-])[O-])O[C@H]1[n]1cnc2c(=O)[n](C)c(N)nc12","ε","nucleotide"
"342","019551A","1,2'-O-dimethylinosine-5'-monophosphate","Adenosine","pm1Im","CO[C@@H]1[C@H](O)[C@@H](COP(=O)([O-])[O-])O[C@H]1[n]1cnc2c(=O)[n](C)cnc12","ξ","nucleotide"
"343","1309551U","1-methyl-3-(3-amino-3-carboxypropyl)pseudouridine-5'-monophosphate","Uridine","pm1acp3Y","C[n]1cc([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[n](CCC(N)C(=O)O)c1=O","α","nucleotide"
"344","19551A","1-methylinosine-5'-monophosphate","Adenosine","pm1I","C[n]1cnc2c(nc[n]2[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c1=O","O","nucleotide"
"345","19551U","1-methylpseudouridine-5'-monophosphate","Uridine","pm1Y","C[n]1cc([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]c1=O","]","nucleotide"
"346","21551C","2-lysidine-5'-monophosphate","Cytidine","pk2C","Nc1cc[n]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=NCCCC[C@H](N)C(=O)O)n1","}","nucleotide"
"347","2551C","2-thiocytidine-5'-monophosphate","Cytidine","ps2C","Nc1cc[n]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=S)n1","%","nucleotide"
"348","1309551U","3-(3-amino-3-carboxypropyl)pseudouridine-5'-monophosphate","Uridine","pacp3Y","NC(CC[n]1c(=O)[nH]cc([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c1=O)C(=O)O","","nucleotide"
"349","39551U","3-methylpseudouridine-5'-monophosphate","Uridine","pm3Y","C[n]1c(=O)[nH]cc([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c1=O","Κ","nucleotide"
"350","05551C","5,2'-O-dimethylcytidine-5'-monophosphate","Cytidine","pm5Cm","CO[C@@H]1[C@H](O)[C@@H](COP(=O)([O-])[O-])O[C@H]1[n]1cc(C)c(N)nc1=O","","nucleotide"
"351","522551U","5-(carboxyhydroxymethyl)uridine methyl ester-5'-monophosphate","Uridine","pmchm5U","COC(=O)C(O)c1c[n]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]c1=O",",","nucleotide"
"352","0583551U","5-(isopentenylaminomethyl)-2'-O-methyluridine-5'-monophosphate","Uridine","pinm5Um","CO[C@@H]1[C@H](O)[C@@H](COP(=O)([O-])[O-])O[C@H]1[n]1cc(CNCC=C(C)C)c(=O)[nH]c1=O","¼","nucleotide"
"353","2583551U","5-(isopentenylaminomethyl)-2-thiouridine-5'-monophosphate","Uridine","pinm5s2U","CC(C)=CCNCc1c[n]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=S)[nH]c1=O","","nucleotide"
"354","583551U","5-(isopentenylaminomethyl)uridine-5'-monophosphate","Uridine","pinm5U","CC(C)=CCNCc1c[n]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]c1=O","","nucleotide"
"355","510551U","5-aminomethyluridine-5'-monophosphate","Uridine","pnm5U","NCc1c[n]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]c1=O","∪","nucleotide"
"356","53551U","5-carbamoylmethyluridine-5'-monophosphate","Uridine","pncm5U","NC(=O)Cc1c[n]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]c1=O","&","nucleotide"
"357","520551U","5-carboxyhydroxymethyluridine-5'-monophosphate","Uridine","pchm5U","O=C(O)C(O)c1c[n]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]c1=O","≥","nucleotide"
"358","51551U","5-carboxymethylaminomethyluridine-5'-monophosphate","Uridine","pcmnm5U","O=C(O)CNCc1c[n]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]c1=O","!","nucleotide"
"359","52551U","5-carboxymethyluridine-5'-monophosphate","Uridine","pcm5U","O=C(O)Cc1c[n]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]c1=O","◊","nucleotide"
"360","50551U","5-hydroxyuridine-5'-monophosphate","Uridine","pho5U","O=c1[nH]c(=O)[n]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)cc1O","","nucleotide"
"361","0521551U","5-methoxycarbonylmethyl-2'-O-methyluridine-5'-monophosphate","Uridine","pmcm5Um","COC(=O)Cc1c[n]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2OC)c(=O)[nH]c1=O","∩","nucleotide"
"362","521551U","5-methoxycarbonylmethyluridine-5'-monophosphate","Uridine","pmcm5U","COC(=O)Cc1c[n]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]c1=O","1","nucleotide"
"363","501551U","5-methoxyuridine-5'-monophosphate","Uridine","pmo5U","COc1c[n]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]c1=O","5","nucleotide"
"364","58551U","5-methyldihydrouridine-5'-monophosphate","Uridine","pm5D","CC1CN([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)C(=O)NC1=O","","nucleotide"
"365","342551G","methylwyosine-5'-monophosphate","Guanosine","pmimG","Cc1nc2[n](C)c3c(c(=O)[n]2c1C)nc[n]3[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O","","nucleotide"
"366","051551C","2'-O-methyl-5-hydroxymethylcytidine-5'-monophosphate","Cytidine","phm5Cm","CO[C@@H]1[C@H](O)[C@@H](COP(=O)([O-])[O-])O[C@H]1[n]1cc(CO)c(N)nc1=O","","nucleotide"
"367","09551A","2'-O-methylinosine-5'-monophosphate","Adenosine","pIm","CO[C@@H]1[C@H](O)[C@@H](COP(=O)([O-])[O-])O[C@H]1[n]1cnc2c(=O)[nH]cnc12","","nucleotide"
"368","09551U","2'-O-methylpseudouridine-5'-monophosphate","Uridine","pYm","CO[C@H]1[C@H](c2c[nH]c(=O)[nH]c2=O)O[C@H](COP(=O)([O-])[O-])[C@H]1O","Z","nucleotide"
"369","0503551U","2'-O-methyluridine 5-oxyacetic acid methyl ester-5'-monophosphate","Uridine","pmcmo5Um","COC(=O)COc1c[n]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2OC)c(=O)[nH]c1=O","","nucleotide"
"370","00551G","2'-O-ribosylguanosine (phosphate)-5'-monophosphate","Guanosine","pGr(p)","Nc1nc(=O)c2c([n]([C@H]3[C@H](O[C@H]4[C@H](O)[C@H](O)[C@@H](COP(=O)([O-])[O-])O4)[C@H](O)[C@@H](COP(=O)([O-])[O-])O3)cn2)n1","ℑ","nucleotide"
"371","28551A","2,8-dimethyladenosine-5'-monophosphate","Adenosine","pm2,8A","Cc1nc(N)c2nc(C)[n]([C@@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2n1","","nucleotide"
"372","21161551A","2- methylthiomethylenethio-N6-isopentenyl-adenosine-5'-monophosphate","Adenosine","pmsms2i6A","CSCSc1nc(NCC=C(C)C)c2nc[n]([C@@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2n1","","nucleotide"
"373","21551U","2-geranylthiouridine-5'-monophosphate","Uridine","pges2U","CC(C)=CCC/C(/C)=C/CSc1nc(=O)cc[n]1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O","","nucleotide"
"374","2164551A","2-methylthio cyclic N6-threonylcarbamoyladenosine-5'-monophosphate","Adenosine","pms2ct6A","CSc1nc(C2C(=O)N[C@@H]([C@@H](C)O)C2=O)c2nc[n]([C@@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2n1","","nucleotide"
"375","2160551A","2-methylthio-N6-(cis-hydroxyisopentenyl) adenosine-5'-monophosphate","Adenosine","pms2io6A","CSc1nc(NCC=C(C)CO)c2nc[n]([C@@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2n1","≠","nucleotide"
"376","2163551A","2-methylthio-N6-hydroxynorvalylcarbamoyladenosine-5'-monophosphate","Adenosine","pms2hn6A","CCC(O)C(NC(=O)Nc1nc(SC)nc2c1nc[n]2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O)C(=O)O","","nucleotide"
"377","621551A","2-methylthio-N6-methyladenosine-5'-monophosphate","Adenosine","pms2m6A","CNc1nc(SC)nc2c1nc[n]2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O","","nucleotide"
"378","2162551A","2-methylthio-N6-threonylcarbamoyladenosine-5'-monophosphate","Adenosine","pms2t6A","CSc1nc(NC(=O)NC(C(=O)O)C(C)O)c2nc[n]([C@@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2n1","[","nucleotide"
"379","02551U","2-thio-2'-O-methyluridine-5'-monophosphate","Uridine","ps2Um","CO[C@@H]1[C@H](O)[C@@H](COP(=O)([O-])[O-])O[C@H]1[n]1ccc(=O)[nH]c1=S","∏","nucleotide"
"380","03551U","3,2'-O-dimethyluridine-5'-monophosphate","Uridine","pm3Um","CO[C@@H]1[C@H](O)[C@@H](COP(=O)([O-])[O-])O[C@H]1[n]1ccc(=O)[n](C)c1=O","","nucleotide"
"381","308551U","3-(3-amino-3-carboxypropyl)-5,6-dihydrouridine-5'-monophosphate","Uridine","pacp3D","NC(CCN1C(=O)CCN([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)C1=O)C(=O)O","","nucleotide"
"382","30551U","3-(3-amino-3-carboxypropyl)uridine-5'-monophosphate","Uridine","pacp3U","NC(CC[n]1c(=O)cc[n]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c1=O)C(=O)O","","nucleotide"
"383","4551G","4-demethylwyosine-5'-monophosphate","Guanosine","pimG-14","Cc1c[n]2c(=O)c3nc[n]([C@@H]4O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]4O)c3[nH]c2n1","","nucleotide"
"384","0522551U","5-(carboxyhydroxymethyl)-2'-O-methyluridine methyl ester-5'-monophosphate","Uridine","pmchm5Um","COC(=O)C(O)c1c[n]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2OC)c(=O)[nH]c1=O","","nucleotide"
"385","21510551U","5-aminomethyl-2-geranylthiouridine-5'-monophosphate","Uridine","pnm5ges2U","CC(C)=CCC/C(/C)=C/CSc1nc(=O)c(CN)c[n]1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O","Δ","nucleotide"
"386","20510551U","5-aminomethyl-2-selenouridine-5'-monophosphate","Uridine","pnm5se2U","NCc1c[n]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=[Se])[nH]c1=O","π","nucleotide"
"387","2510551U","5-aminomethyl-2-thiouridine-5'-monophosphate","Uridine","pnm5s2U","NCc1c[n]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=S)[nH]c1=O","∫","nucleotide"
"388","531551U","5-carbamoylhydroxymethyluridine-5'-monophosphate","Uridine","pnchm5U","NC(=O)C(O)c1c[n]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]c1=O","","nucleotide"
"389","053551U","5-carbamoylmethyl-2'-O-methyluridine-5'-monophosphate","Uridine","pncm5Um","CO[C@@H]1[C@H](O)[C@@H](COP(=O)([O-])[O-])O[C@H]1[n]1cc(CC(N)=O)c(=O)[nH]c1=O","","nucleotide"
"390","253551U","5-carbamoylmethyl-2-thiouridine-5'-monophosphate","Uridine","pncm5s2U","NC(=O)Cc1c[n]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=S)[nH]c1=O","l","nucleotide"
"391","2540551U","5-carboxymethyl-2-thiouridine-5'-monophosphate","Uridine","pcm5s2U","O=C(O)Cc1c[n]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=S)[nH]c1=O","℘","nucleotide"
"392","051551U","5-carboxymethylaminomethyl-2'-O-methyluridine-5'-monophosphate","Uridine","pcmnm5Um","CO[C@@H]1[C@H](O)[C@@H](COP(=O)([O-])[O-])O[C@H]1[n]1cc(CNCC(=O)O)c(=O)[nH]c1=O",")","nucleotide"
"393","2151551U","5-carboxymethylaminomethyl-2-geranylthiouridine-5'-monophosphate","Uridine","pcmnm5ges2U","CC(C)=CCC/C(/C)=C/CSc1nc(=O)c(CNCC(=O)O)c[n]1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O","f","nucleotide"
"394","2051551U","5-carboxymethylaminomethyl-2-selenouridine-5'-monophosphate","Uridine","pcmnm5se2U","O=C(O)CNCc1c[n]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=[Se])[nH]c1=O","⊥","nucleotide"
"395","251551U","5-carboxymethylaminomethyl-2-thiouridine-5'-monophosphate","Uridine","pcmnm5s2U","O=C(O)CNCc1c[n]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=S)[nH]c1=O","$","nucleotide"
"396","55551U","5-cyanomethyluridine-5'-monophosphate","Uridine","pcnm5U","N#CCc1c[n]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]c1=O","Ѷ","nucleotide"
"397","071551C","5-formyl-2'-O-methylcytidine-5'-monophosphate","Cytidine","pf5Cm","CO[C@@H]1[C@H](O)[C@@H](COP(=O)([O-])[O-])O[C@H]1[n]1cc(C=O)c(N)nc1=O","°","nucleotide"
"398","50551C","5-hydroxycytidine-5'-monophosphate","Cytidine","pho5C","Nc1nc(=O)[n]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)cc1O","Ç","nucleotide"
"399","25551U","5-methyl-2-thiouridine-5'-monophosphate","Uridine","pm5s2U","Cc1c[n]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=S)[nH]c1=O","F","nucleotide"
"400","21511551U","5-methylaminomethyl-2-geranylthiouridine-5'-monophosphate","Uridine","pmnm5ges2U","CNCc1c[n]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(SC/C=C(\C)/CCC=C(C)C)nc1=O","","nucleotide"
"401","20511551U","5-methylaminomethyl-2-selenouridine-5'-monophosphate","Uridine","pmnm5se2U","CNCc1c[n]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=[Se])[nH]c1=O","","nucleotide"
"402","2511551U","5-methylaminomethyl-2-thiouridine-5'-monophosphate","Uridine","pmnm5s2U","CNCc1c[n]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=S)[nH]c1=O","S","nucleotide"
"403","254551U","5-taurinomethyl-2-thiouridine-5'-monophosphate","Uridine","ptm5s2U","O=c1[nH]c(=S)[n]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)cc1CNCCS(=O)(=O)O","∃","nucleotide"
"404","54551U","5-taurinomethyluridine-5'-monophosphate","Uridine","ptm5U","O=c1[nH]c(=O)[n]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)cc1CNCCS(=O)(=O)O","Ê","nucleotide"
